fare_id,route_id
pago,002
pago,103
pago,105
pago,109
pago,113
pago,116
pago,2501
pago,1510
pago,5110
pago,5201
pago,A002
pago,I005
pago,I009
pago,503
pago,504
pago,505
pago,506
pago,516
pago,602
pago,604
pago,1001
pago,003
pago,401
pago,507
pago,509
pago,512
pago,520
pago,507A
pago,507B
pago,I007
pago,201
pago,202
pago,203
pago,204
pago,207
pago,208
pago,209
pago,301
pago,302
pago,303
pago,304
pago,500
pago,510
pago,511
pago,514
pago,517
pago,601
pago,1500
pago,2307
pago,2514
pago,3200
pago,3207
pago,3510
pago,5100
pago,5204
pago,5206
pago,5310
gratis,I006
pago,104
pago,108
pago,110
pago,115
pago,118
pago,701
pago,1502
pago,1519
pago,2300
pago,5120
pago,7118
pago,7120
pago,I004
pago,I008
pago,I012
pago,101
pago,102
pago,106
pago,107
pago,114
pago,402
pago,513
pago,521
pago,600
pago,603
pago,2515
pago,3507
pago,5210
pago,5307
pago,5600
pago,5603
pago,5605
pago,A101
