trip_id,arrival_time,departure_time,stop_id,stop_sequence
3510-1,04:40:00,04:40:00,1790,0
3510-1,,,667,1
3510-1,,,664,2
3510-1,,,666,3
3510-1,,,1472,4
3510-1,,,1471,5
3510-1,,,1473,6
3510-1,,,1543,7
3510-1,,,663,8
3510-1,,,1482,9
3510-1,,,656,10
3510-1,,,655,11
3510-1,,,654,12
3510-1,,,657,13
3510-1,,,659,14
3510-1,,,660,15
3510-1,,,661,16
3510-1,,,662,17
3510-1,,,652,18
3510-1,,,650,19
3510-1,,,649,20
3510-1,,,256,21
3510-1,,,255,22
3510-1,,,254,23
3510-1,,,250,24
3510-1,,,247,25
3510-1,,,245,26
3510-1,,,243,27
3510-1,,,242,28
3510-1,,,239,29
3510-1,,,235,30
3510-1,,,234,31
3510-1,,,233,32
3510-1,,,232,33
3510-1,,,392,34
3510-1,,,393,35
3510-1,,,394,36
3510-1,,,395,37
3510-1,,,396,38
3510-1,,,397,39
3510-1,,,398,40
3510-1,,,399,41
3510-1,,,400,42
3510-1,,,402,43
3510-1,,,401,44
3510-1,,,405,45
3510-1,,,404,46
3510-1,,,403,47
3510-1,,,1631,48
3510-1,,,388,49
3510-1,,,389,50
3510-1,,,390,51
3510-1,,,391,52
3510-1,,,1382,53
3510-1,,,307,54
3510-1,,,379,55
3510-1,,,1493,56
3510-1,,,270,57
3510-1,,,271,58
3510-1,,,274,59
3510-1,,,277,60
3510-1,,,1600,61
3510-1,,,279,62
3510-1,,,281,63
3510-1,,,283,64
3510-1,,,285,65
3510-1,,,287,66
3510-1,,,1082,67
3510-1,,,1085,68
3510-1,,,1086,69
3510-1,,,1088,70
3510-1,,,1091,71
3510-1,,,1044,72
3510-1,,,1045,73
3510-1,,,1047,74
3510-1,,,1049,75
3510-1,,,1051,76
3510-1,,,253,77
3510-1,,,839,78
3510-1,,,841,79
3510-1,,,846,80
3510-1,,,847,81
3510-1,,,1406,82
3510-1,,,1706,83
3510-1,,,651,84
3510-1,,,653,85
3510-1,,,1696,86
3510-1,,,1697,87
3510-1,,,1476,88
3510-1,,,1475,89
3510-1,,,1474,90
3510-1,,,1542,91
3510-1,,,1684,92
3510-1,,,1683,93
3510-1,,,1682,94
3510-1,,,665,95
3510-1,05:06:00,05:06:00,1790,96
507B-1,06:00:00,06:00:00,45,0
507B-1,,,46,1
507B-1,,,63,2
507B-1,,,64,3
507B-1,,,514,4
507B-1,,,516,5
507B-1,,,518,6
507B-1,,,520,7
507B-1,,,521,8
507B-1,,,575,9
507B-1,,,572,10
507B-1,,,570,11
507B-1,,,1481,12
507B-1,,,567,13
507B-1,,,566,14
507B-1,,,564,15
507B-1,,,562,16
507B-1,,,296,17
507B-1,,,293,18
507B-1,,,292,19
507B-1,,,290,20
507B-1,,,288,21
507B-1,,,286,22
507B-1,,,284,23
507B-1,,,282,24
507B-1,,,280,25
507B-1,,,278,26
507B-1,,,276,27
507B-1,,,275,28
507B-1,,,273,29
507B-1,,,272,30
507B-1,,,380,31
507B-1,,,378,32
507B-1,,,392,33
507B-1,,,393,34
507B-1,,,398,35
507B-1,,,399,36
507B-1,,,400,37
507B-1,,,402,38
507B-1,,,401,39
507B-1,,,405,40
507B-1,,,404,41
507B-1,,,403,42
507B-1,,,1631,43
507B-1,,,388,44
507B-1,,,389,45
507B-1,,,390,46
507B-1,,,391,47
507B-1,,,1403,48
507B-1,,,307,49
507B-1,,,379,50
507B-1,,,1493,51
507B-1,,,270,52
507B-1,,,271,53
507B-1,,,274,54
507B-1,,,277,55
507B-1,,,1600,56
507B-1,,,279,57
507B-1,,,281,58
507B-1,,,283,59
507B-1,,,285,60
507B-1,,,287,61
507B-1,,,289,62
507B-1,,,291,63
507B-1,,,294,64
507B-1,,,295,65
507B-1,,,297,66
507B-1,,,563,67
507B-1,,,565,68
507B-1,,,568,69
507B-1,,,569,70
507B-1,,,571,71
507B-1,,,573,72
507B-1,,,574,73
507B-1,,,522,74
507B-1,,,1695,75
507B-1,,,69,76
507B-1,,,519,77
507B-1,,,517,78
507B-1,,,515,79
507B-1,,,513,80
507B-1,06:55:00,06:55:00,45,81
507B-14,07:56:00,07:56:00,45,0
507B-14,,,46,1
507B-14,,,63,2
507B-14,,,64,3
507B-14,,,514,4
507B-14,,,516,5
507B-14,,,518,6
507B-14,,,520,7
507B-14,,,521,8
507B-14,,,575,9
507B-14,,,572,10
507B-14,,,570,11
507B-14,,,1481,12
507B-14,,,567,13
507B-14,,,566,14
507B-14,,,564,15
507B-14,,,562,16
507B-14,,,296,17
507B-14,,,293,18
507B-14,,,292,19
507B-14,,,290,20
507B-14,,,288,21
507B-14,,,286,22
507B-14,,,284,23
507B-14,,,282,24
507B-14,,,280,25
507B-14,,,278,26
507B-14,,,276,27
507B-14,,,275,28
507B-14,,,273,29
507B-14,,,272,30
507B-14,,,380,31
507B-14,,,378,32
507B-14,,,392,33
507B-14,,,393,34
507B-14,,,398,35
507B-14,,,399,36
507B-14,,,400,37
507B-14,,,402,38
507B-14,,,401,39
507B-14,,,405,40
507B-14,,,404,41
507B-14,,,403,42
507B-14,,,1631,43
507B-14,,,388,44
507B-14,,,389,45
507B-14,,,390,46
507B-14,,,391,47
507B-14,,,1403,48
507B-14,,,307,49
507B-14,,,379,50
507B-14,,,1493,51
507B-14,,,270,52
507B-14,,,271,53
507B-14,,,274,54
507B-14,,,277,55
507B-14,,,1600,56
507B-14,,,279,57
507B-14,,,281,58
507B-14,,,283,59
507B-14,,,285,60
507B-14,,,287,61
507B-14,,,289,62
507B-14,,,291,63
507B-14,,,294,64
507B-14,,,295,65
507B-14,,,297,66
507B-14,,,563,67
507B-14,,,565,68
507B-14,,,568,69
507B-14,,,569,70
507B-14,,,571,71
507B-14,,,573,72
507B-14,,,574,73
507B-14,,,522,74
507B-14,,,1695,75
507B-14,,,69,76
507B-14,,,519,77
507B-14,,,517,78
507B-14,,,515,79
507B-14,,,513,80
507B-14,07:51:00,07:51:00,45,81
510-1,00:30:00,00:30:00,623,0510-1,,,1586,1510-1,,,1450,2510-1,,,1585,3510-1,,,621,4
510-1,,,619,5
510-1,,,618,6
510-1,,,614,7
510-1,,,610,8
510-1,,,1736,9
510-1,,,609,10
510-1,,,607,11
510-1,,,1643,12
510-1,,,613,13
510-1,,,631,14
510-1,,,629,15
510-1,,,634,16
510-1,,,633,17
510-1,,,628,18
510-1,,,1725,19
510-1,,,525,20
510-1,,,1727,21
510-1,,,531,22
510-1,,,535,23
510-1,,,1398,24
510-1,,,538,25
510-1,,,542,26
510-1,,,559,27
510-1,,,560,28
510-1,,,296,29
510-1,,,293,30
510-1,,,292,31
510-1,,,290,32
510-1,,,288,33
510-1,,,286,34
